temp1,temp2,hum1,press2,label
21.657142857142855,22.818571428571428,48.814285714285724,98424.59571428572,1
21.699999999999996,22.8575,48.675000000000004,98425.02249999999,1
21.699999999999996,22.865714285714287,48.57142857142857,98424.27857142859,1
21.762500000000003,22.8625,48.575,98424.27,1
21.800000000000004,22.865,48.512499999999996,98425.805,1
21.800000000000004,22.8475,48.387499999999996,98425.12625,1
21.800000000000004,22.80857142857143,48.371428571428574,98423.51000000001,1
21.800000000000004,22.78625,48.25,98423.19625,1
21.800000000000004,22.755000000000003,48.2125,98422.99124999999,1
21.800000000000004,22.7425,48.2125,98423.86000000002,1
21.800000000000004,22.752499999999998,48.199999999999996,98424.8725,1
21.800000000000004,22.74857142857143,48.199999999999996,98424.01714285716,1
21.800000000000004,22.74125,48.16250000000001,98422.61875,1
21.800000000000004,22.746250000000003,48.10000000000001,98422.74,1
21.800000000000004,22.734999999999996,48.087500000000006,98423.42375,1
21.800000000000004,22.714285714285715,48.07142857142857,98422.64142857143,1
21.800000000000004,22.6875,48.0625,98421.78375,1
21.800000000000004,22.675000000000004,47.9875,98426.63625000001,1
21.800000000000004,22.669999999999998,48.01428571428572,98425.94428571429,1
21.800000000000004,22.65875,48,98423.62249999998,1
21.800000000000004,22.63875,47.949999999999996,98423.46375,1
21.7875,22.61875,47.8625,98424.78,1
21.800000000000004,22.59714285714286,47.771428571428565,98425.58142857144,1
21.7625,22.58,47.800000000000004,98425.28875,1
21.724999999999994,22.576249999999998,47.800000000000004,98424.05000000002,1
21.712499999999995,22.56625,47.83749999999999,98425.73,1
21.74285714285714,22.557142857142857,47.87142857142857,98425.81571428571,1
21.750000000000004,22.5625,47.9,98426.75749999998,1
21.724999999999998,22.555000000000003,47.762499999999996,98425.8925,1
21.7875,22.5425,47.7375,98427.99124999999,1
21.785714285714285,22.53,47.714285714285715,98430.21,1
21.7375,22.517499999999995,47.62500000000001,98428.26750000002,1
21.737499999999997,22.5125,47.587500000000006,98427.70625,1
21.749999999999996,22.50875,47.55,98427.62125,1
21.714285714285715,22.512857142857147,47.55714285714286,98427.86142857143,1
21.699999999999996,22.492499999999996,47.53750000000001,98426.88,1
21.699999999999996,22.485000000000003,47.675,98427.07125,1
21.7125,22.49,47.724999999999994,98426.485,1
21.771428571428572,22.520000000000003,48.185714285714276,98428.24428571427,1
21.800000000000004,22.545,48.43749999999999,98428.33875,1
21.800000000000004,22.595,48.575,98428.4225,1
21.800000000000004,22.655714285714282,48.885714285714286,98430.11285714286,1
21.800000000000004,22.68857142857143,48.54285714285714,98428.26857142858,1
